gw,player_id,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,fmmp,winning_goals,won_tackle,accurate_pass,clearances_blocks_interceptions,shot_target,big_chance_created,big_chance_missed,performance_index,total_points,played,in_dreamteam
1,137,62,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,27,2,True,False
1,138,90,0,0,0,3,0,0,0,0,0,0,0,0,0,2,27,8,0,0,0,29,3,True,False
1,139,90,0,0,0,3,0,0,0,0,0,0,0,0,0,1,38,8,1,0,0,44,3,True,False
1,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,142,90,0,0,0,3,0,0,0,0,0,0,0,0,0,1,20,3,1,0,0,14,2,True,False
1,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,144,66,0,0,0,2,0,0,0,0,0,0,0,0,0,1,21,9,0,0,0,28,3,True,False
1,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,146,66,0,0,0,2,0,0,0,0,0,0,0,0,0,0,28,10,0,0,0,44,2,True,False
1,147,90,0,0,0,2,0,0,0,0,0,0,0,0,0,1,43,9,0,1,0,26,4,True,False
1,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,151,90,1,0,0,2,0,0,0,0,0,0,0,0,0,3,54,7,1,0,0,75,10,True,False
1,152,32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,1,True,False
1,153,90,0,0,0,2,0,0,0,0,0,0,0,0,0,1,36,1,0,0,0,34,2,True,False
1,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,157,90,0,0,0,2,0,0,0,0,0,0,0,0,0,0,49,5,0,0,0,27,2,True,False
1,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,159,90,0,0,0,2,0,0,0,0,0,0,0,0,0,0,62,11,0,0,0,60,3,True,False
1,160,57,0,1,0,1,0,0,0,0,0,0,0,0,0,0,26,3,1,1,0,0,4,True,False
1,161,90,0,0,0,2,0,0,0,0,0,2,0,0,0,0,14,5,0,0,0,36,2,True,False
1,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,164,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,0,0,0,1,True,False
